gene	total_expr_left (6OHDA+NDST3)	total_expr_right (6-OHDA)	expr_difference
Glrx2	615	1001	-386
Gpr137c	805	1191	-386
Stard10	1417	1803	-386
Tenm4	912	1298	-386
Arhgap5	892	1279	-387
Ccdc107	815	1202	-387
Ctu2	917	1304	-387
Errfi1	552	939	-387
Mmadhc	1000	1387	-387
Wdr35	944	1331	-387
Ddx46	1083	1471	-388
Leng8	1019	1407	-388
Lrch4	737	1125	-388
Rabggta	948	1336	-388
Ipo13	504	893	-389
Pde4b	1825	2214	-389
Hnrnpab	765	1155	-390
Llgl1	883	1273	-390
Pip4p2	583	973	-390
Vwa8	876	1266	-390
Cacng3	519	910	-391
Nbdy	1681	2072	-391
Polr3gl	872	1263	-391
Smap1	521	912	-391
Tbck	525	916	-391
Trap1	808	1199	-391
Wdr7	817	1208	-391
Cenpb	676	1068	-392
Foxg1	513	905	-392
Mapk11	678	1070	-392
Nr4a3	318	710	-392
Opalin	980	1372	-392
Ppig	786	1178	-392
Tmbim4	1230	1622	-392
Emc10	574	967	-393
Stxbp5l	454	847	-393
Mamld1	403	797	-394
Slitrk3	431	825	-394
Ccndbp1	969	1364	-395
Ptpre	824	1219	-395
Dlgap1	399	795	-396
Mboat2	755	1151	-396
Slc25a44	592	988	-396
Cant1	1010	1407	-397
Poldip3	788	1185	-397
Rala	783	1180	-397
Xylt2	621	1018	-397
Zdhhc3	939	1336	-397
AU022252	573	971	-398
Ociad1	891	1289	-398
Psma6	841	1239	-398
Tbc1d9	1393	1791	-398
Plekhn1	1058	1457	-399
Prpsap1	789	1188	-399
Spout1	1032	1431	-399
Arhgap1	1283	1683	-400
Insyn1	476	876	-400
Mfge8	450	850	-400
Pnpla8	958	1358	-400
Taok1	653	1053	-400
Wnk1	1290	1690	-400
1810030O07Rik	796	1197	-401
Dok6	604	1005	-401
Mzt2	704	1105	-401
Sox11	322	723	-401
Ddn	158	560	-402
Tnpo1	849	1251	-402
Vti1a	560	962	-402
Ssbp4	1026	1429	-403
Arid1a	958	1362	-404
Eapp	809	1213	-404
Evi5	812	1216	-404
Fasn	1017	1421	-404
Hey1	593	997	-404
Mapkap1	771	1175	-404
Meaf6	1160	1564	-404
Nipal3	1064	1468	-404
Nol7	1015	1419	-404
Rab12	1136	1540	-404
Ramp3	880	1284	-404
Wasf2	703	1107	-404
Ahsa1	906	1311	-405
Arpc5l	750	1155	-405
Itm2b	1026	1431	-405
Mlycd	972	1377	-405
Ntng2	404	809	-405
Ssbp3	728	1133	-405
Ankrd6	725	1131	-406
Bzw2	583	989	-406
Cdh24	751	1157	-406
Fech	692	1098	-406
Fibcd1	480	886	-406
Gtf2h5	741	1147	-406
Mon2	846	1252	-406
Ppp1r3c	820	1226	-406
Sf3b1	778	1184	-406
Tcp11l2	723	1129	-406
Cald1	376	783	-407
Cpt1c	587	994	-407
Lrrn1	751	1158	-407
Ptprj	445	852	-407
Rreb1	385	792	-407
Smarcb1	991	1398	-407
Tiam2	212	619	-407
Tmtc1	746	1153	-407
Cacna1d	550	958	-408
Gatad1	801	1209	-408
Slc9a3r1	1349	1757	-408
Smad3	234	642	-408
Ttc33	1214	1622	-408
Unc119b	728	1136	-408
Cacybp	1536	1945	-409
Caprin1	707	1116	-409
Cit	1241	1650	-409
Ift57	774	1183	-409
Jun	394	803	-409
Phyhip	539	948	-409
Atp9b	940	1350	-410
Gcn1	643	1053	-410
Kcng1	337	747	-410
Ppp1r10	989	1399	-410
Slirp	1021	1431	-410
Tmem14a	687	1097	-410
B4galt6	448	859	-411
Dnaja4	642	1053	-411
Exoc8	850	1261	-411
Cpsf1	1007	1419	-412
Exosc5	863	1275	-412
Rtn4rl2	245	657	-412
Tcta	707	1119	-412
Wdr77	1580	1992	-412
Bccip	901	1314	-413
Serpina3n	410	823	-413
Zfp512	1307	1720	-413
Angel2	548	962	-414
Dlat	1086	1500	-414
Lsm14a	954	1368	-414
Man2a2	936	1350	-414
Med13	692	1106	-414
Nlgn2	781	1195	-414
Plbd2	832	1246	-414
Vgll3	506	920	-414
Xpnpep1	677	1091	-414
Cabin1	736	1151	-415
Echs1	695	1110	-415
Pik3c3	737	1152	-415
Rnf34	723	1138	-415
9330159F19Rik	842	1258	-416
Fgf1	1637	2053	-416
Fn3krp	701	1117	-416
Letmd1	786	1202	-416
Kif13b	1060	1477	-417
Mars	576	993	-417
Eif4g3	1189	1607	-418
Parp6	839	1257	-418
Adss	1112	1531	-419
Caml	658	1077	-419
Pcdh1	394	813	-419
Pnma2	1109	1528	-419
Utp4	494	913	-419
Daam2	796	1216	-420
Dda1	1316	1736	-420
Eif4ebp2	1060	1480	-420
Mgat4b	661	1081	-420
Ppp1r1b	579	999	-420
Rab28	1229	1649	-420
Tbcd	822	1242	-420
Usp48	1128	1548	-420
Cdc34	1264	1685	-421
Gpalpp1	591	1012	-421
BC005537	980	1402	-422
Celsr2	830	1252	-422
Laptm4b	1375	1797	-422
Phlpp1	917	1339	-422
2310061I04Rik	1587	2010	-423
Aagab	715	1138	-423
Cdc16	730	1153	-423
Rad23a	966	1389	-423
Slc33a1	900	1323	-423
Cyb5a	1062	1486	-424
Ncstn	714	1138	-424
Wapl	494	918	-424
Cep170	1362	1787	-425
Cinp	705	1130	-425
Ctnna1	871	1296	-425
Exd2	652	1077	-425
Szrd1	575	1000	-425
Aggf1	555	981	-426
Thap7	684	1110	-426
Chmp5	783	1210	-427
Gripap1	778	1205	-427
Hpf1	1194	1621	-427
Ro60	841	1268	-427
Socs5	1096	1523	-427
Chchd1	939	1367	-428
Ilk	1991	2419	-428
Pgs1	1289	1717	-428
Psmc3	901	1329	-428
Adgrg1	1270	1699	-429
Ext2	1019	1448	-429
Gng12	913	1342	-429
Kdm4b	562	991	-429
Nsmce3	622	1051	-429
Pck2	531	960	-429
Traf3	808	1237	-429
Sf1	1365	1795	-430
Snx27	1404	1834	-430
Tspoap1	1226	1656	-430
Zmiz2	953	1383	-430
Cct8	1247	1678	-431
Dohh	1308	1739	-431
Syncrip	646	1077	-431
Abcf1	792	1224	-432
C1ql3	147	579	-432
Kat6b	761	1193	-432
Lamp2	916	1348	-432
Snf8	685	1117	-432
Tln2	663	1095	-432
Ap1s2	1569	2002	-433
Cttn	819	1252	-433
Dctn5	1048	1481	-433
Faf2	840	1273	-433
Galnt14	641	1074	-433
Inpp5b	773	1206	-433
Nmt1	1084	1517	-433
Tnr	510	943	-433
Pik3ca	998	1432	-434
Erc1	802	1237	-435
Mark4	890	1325	-435
Pak1ip1	624	1059	-435
Rasgrp1	277	712	-435
Ccdc28b	501	937	-436
Cers4	1072	1508	-436
Cul3	864	1300	-436
Ep400	1178	1614	-436
Pex14	544	980	-436
Rtn4r	283	719	-436
Acyp2	1136	1573	-437
Necap2	664	1101	-437
Rapgef1	1031	1468	-437
Snx32	1309	1746	-437
Ccdc136	1662	2100	-438
Dnajc10	971	1409	-438
Gng11	1943	2381	-438
Set	683	1121	-438
Vdac2	1410	1848	-438
H2afx	856	1295	-439
Slc4a2	1264	1703	-439
Tomm6	2659	3098	-439
B2m	415	855	-440
Fam98b	903	1343	-440
Med25	469	909	-440
Nenf	955	1395	-440
Ubxn1	1237	1677	-440
Dnajc15	1246	1687	-441
Panx2	885	1326	-441
Pofut1	724	1165	-441
Abl2	490	932	-442
Bclaf1	1026	1468	-442
Fez1	1207	1649	-442
Prpf8	1072	1514	-442
Scap	1331	1773	-442
Bsdc1	755	1198	-443
Chd6	1378	1821	-443
Idnk	1085	1528	-443
Poglut1	1272	1715	-443
Pou6f1	1004	1447	-443
11-Sep	501	944	-443
Sin3b	1070	1513	-443
Tfrc	917	1360	-443
Ube2j1	1684	2127	-443
Cln8	790	1234	-444
Cpne4	564	1008	-444
Pkp4	1348	1792	-444
Mapk1ip1l	831	1276	-445
Ccdc92	1080	1526	-446
Drg1	828	1274	-446
Frmd5	1243	1689	-446
Hipk3	989	1435	-446
Sybu	593	1039	-446
Tor1b	577	1023	-446
Vps13d	1256	1702	-446
Cnpy2	810	1257	-447
Dyrk1b	1003	1450	-447
Hipk2	1089	1536	-447
Sdf2	871	1318	-447
Clpp	904	1352	-448
Ddrgk1	1082	1530	-448
Dstn	627	1075	-448
Fah	1195	1643	-448
Trank1	453	901	-448
Hid1	1348	1797	-449
BC004004	1254	1704	-450
Dmxl2	778	1228	-450
Pdcd6	811	1261	-450
Por	999	1449	-450
Lrrtm4	448	899	-451
Sv2b	721	1172	-451
2510039O18Rik	708	1160	-452
Ccser2	1029	1481	-452
Dazap1	1008	1460	-452
Emc4	1016	1468	-452
Ptbp2	874	1326	-452
Raver2	562	1014	-452
Sptlc2	1034	1486	-452
Dynlt3	1219	1672	-453
Mfsd14a	704	1157	-453
Srrm2	1011	1464	-453
4933434E20Rik	1324	1778	-454
Mpp2	936	1390	-454
Nek9	987	1441	-454
Scn2b	1056	1510	-454
Sod2	1104	1558	-454
Tmem88b	1631	2085	-454
Aak1	1070	1525	-455
Nkrf	1121	1576	-455
Pex5l	1454	1909	-455
Rit1	761	1216	-455
Smpd1	1264	1719	-455
Sst	1427	1882	-455
Abcd3	925	1381	-456
Dtx4	767	1223	-456
Kdm4a	679	1135	-456
Ppp1r12a	904	1360	-456
Gm16286	963	1420	-457
Gsk3b	1077	1534	-457
Nfkbib	707	1164	-457
Nos1ap	959	1416	-457
Arhgdig	1481	1939	-458
Exoc7	971	1429	-458
Gm1673	1547	2005	-458
Ncoa7	945	1403	-458
Pclo	824	1282	-458
Rnf6	801	1259	-458
Zranb2	832	1290	-458
B3gat3	1218	1677	-459
BC031181	1615	2074	-459
Mydgf	1224	1683	-459
Snrnp200	811	1270	-459
Wars	853	1312	-459
Focad	865	1325	-460
Gsk3a	1365	1825	-460
Nacc1	1313	1773	-460
Rusc2	1377	1837	-460
Stxbp6	563	1023	-460
Bicd2	1339	1800	-461
Ddit4	771	1232	-461
Ppp1r13b	765	1226	-461
Samm50	1590	2051	-461
Sesn1	657	1118	-461
Sppl2b	758	1219	-461
Tuba4a	1183	1644	-461
Mdh2	2014	2476	-462
Mnat1	686	1148	-462
Cand1	1317	1780	-463
Mau2	1066	1529	-463
Nufip2	834	1297	-463
Dnajc1	628	1092	-464
Mpv17l2	856	1320	-464
Abhd4	703	1168	-465
Cntn1	923	1388	-465
Entr1	1212	1677	-465
Tmem229a	1400	1865	-465
Zmpste24	886	1351	-465
Apbb1	1230	1696	-466
Babam1	1547	2013	-466
Med13l	611	1077	-466
Noc2l	871	1337	-466
Ube2a	759	1225	-466
Zfand2a	765	1231	-466
Zfp362	798	1264	-466
Cdc42se1	957	1424	-467
Chst2	632	1099	-467
Derl1	1216	1683	-467
Fbxo10	1041	1508	-467
Sde2	754	1221	-467
Selenoh	820	1287	-467
Grm1	776	1244	-468
Spire1	1505	1973	-468
Tcf20	1150	1618	-468
Iscu	2429	2898	-469
Ociad2	1121	1590	-469
Phf20l1	642	1111	-469
Ptpn4	1568	2037	-469
B4galnt1	961	1431	-470
Gtf2f1	1125	1595	-470
Ndrg3	669	1139	-470
Syt17	726	1196	-470
Ap1m1	810	1281	-471
Bdh1	1138	1609	-471
Ccdc71l	406	877	-471
Chkb	1130	1601	-471
Deaf1	657	1128	-471
Ndufa5	1233	1704	-471
Trmt1	1041	1512	-471
Agt	835	1307	-472
Bop1	773	1245	-472
Cxcl14	483	955	-472
Kif26b	636	1108	-472
Mif	2374	2846	-472
Polr2m	1163	1635	-472
Nomo1	1314	1787	-473
Sec61a2	1141	1614	-473
Tef	1056	1529	-473
Tnfrsf21	1143	1616	-473
Cebpb	192	666	-474
Pnck	1593	2067	-474
Ralgds	883	1357	-474
Rgs17	1466	1940	-474
Clec16a	883	1358	-475
Fam210a	1012	1487	-475
Pcdh19	774	1249	-475
Tmod1	362	837	-475
Cacnb4	974	1450	-476
Pcbp3	871	1347	-476
Psmb2	671	1147	-476
Ptprn	1398	1874	-476
Slc20a1	1127	1603	-476
Tmem108	519	995	-476
Zer1	1057	1533	-476
Ankmy2	627	1104	-477
Creld1	977	1454	-477
Crlf1	120	597	-477
Dnm2	1168	1645	-477
Gna12	1062	1539	-477
Nrsn2	2964	3441	-477
Zfp523	845	1322	-477
Asxl1	878	1356	-478
Ensa	1013	1492	-479
Ift22	1269	1748	-479
Hist1h4h	983	1463	-480
Prxl2a	760	1240	-480
Celf5	506	987	-481
Cldn10	735	1216	-481
Rasgef1a	461	942	-481
Zbtb11	1269	1750	-481
Dguok	704	1186	-482
Eme2	883	1365	-482
Hsd17b12	1788	2270	-482
Snrnp70	966	1448	-482
Ube2r2	849	1331	-482
Bahcc1	823	1306	-483
Cbx4	824	1307	-483
Fabp7	851	1334	-483
Far1	992	1476	-484
Hmox2	925	1410	-485
Otud5	753	1238	-485
Pacs1	1123	1608	-485
Scamp1	876	1361	-485
Ttyh1	1434	1919	-485
Ssr3	827	1313	-486
Timp4	1337	1824	-487
Yy1	836	1323	-487
Ahcyl2	778	1266	-488
Gramd4	960	1448	-488
Nwd1	701	1189	-488
Ppp4r2	1138	1626	-488
Zfr2	1605	2093	-488
Lcat	536	1025	-489
Ilkap	1019	1509	-490
Mta1	1106	1596	-490
Ncoa5	944	1434	-490
Ssb	1059	1549	-490
Cdc42ep1	2172	2663	-491
Cebpg	789	1280	-491
Atp6v1b2	899	1392	-493
Shtn1	1400	1893	-493
Ankrd10	707	1201	-494
Dgkz	693	1187	-494
Mageh1	858	1352	-494
Ncbp1	939	1433	-494
Snx15	1225	1719	-494
Tomm70a	930	1424	-494
Smim10l1	931	1426	-495
Armc8	1065	1561	-496
Hdgfl3	1279	1775	-496
Myo6	1072	1568	-496
Gpsm1	1161	1658	-497
Ndel1	1515	2012	-497
Atp1b3	2055	2553	-498
Borcs5	793	1291	-498
Soga1	1447	1945	-498
Pou3f3	827	1327	-500
Apmap	1240	1741	-501
Dnajc5	1557	2058	-501
Dip2a	1701	2203	-502
Hspe1	890	1393	-503
Serpine2	1635	2138	-503
Tlk1	792	1295	-503
Klf13	487	991	-504
Abhd11	1357	1862	-505
Camta1	1298	1803	-505
Gsr	979	1484	-505
Tspan2	1234	1739	-505
Ash2l	1008	1514	-506
Rgl2	775	1281	-506
C1qc	384	891	-507
Dlgap3	581	1088	-507
Ifngr2	754	1261	-507
Mul1	1269	1776	-507
Tafa5	1257	1764	-507
Wasf1	394	901	-507
Yrdc	742	1249	-507
Agpat5	872	1380	-508
Dicer1	819	1328	-509
Epn1	893	1402	-509
Htr4	485	994	-509
Evl	1343	1853	-510
P3h3	1070	1580	-510
Rab3gap2	1357	1867	-510
Mat2b	738	1249	-511
Mgll	612	1123	-511
Uqcr11	2723	3234	-511
Klhl3	465	977	-512
Naa60	1901	2413	-512
Epb41l3	3254	3767	-513
Pdxdc1	1107	1621	-514
Cct6a	979	1494	-515
Clns1a	772	1287	-515
Kctd6	473	988	-515
Prr7	520	1035	-515
D10Wsu102e	1235	1751	-516
Ganab	669	1185	-516
Herc2	1245	1761	-516
Prrc2a	895	1411	-516
Upf1	856	1372	-516
Plk5	485	1002	-517
Bok	447	965	-518
Chrd	636	1154	-518
Tubb4b	2085	2603	-518
Atrx	760	1279	-519
Sec23a	651	1170	-519
Sgsm3	924	1443	-519
Cops2	979	1499	-520
Padi2	761	1281	-520
Pcdh9	1206	1726	-520
Chmp4b	1004	1525	-521
Paics	1205	1726	-521
Plekhm3	1133	1654	-521
Sf3a1	1011	1532	-521
Bax	1512	2034	-522
Clcn4	1187	1709	-522
Fermt2	1227	1749	-522
Kcnk1	658	1180	-522
Mapk1ip1	1306	1828	-522
Tmem101	911	1433	-522
Becn1	1022	1545	-523
Car4	535	1058	-523
Micu1	1021	1544	-523
Mvb12b	1092	1615	-523
Nol4	580	1103	-523
Rprd2	1073	1596	-523
Gskip	993	1517	-524
Jtb	743	1267	-524
Slc30a1	868	1394	-526
Tanc1	391	917	-526
Cryzl1	1131	1658	-527
Kcnab1	628	1155	-527
Nol3	946	1473	-527
Dalrd3	1036	1564	-528
Zcchc24	1570	2098	-528
Cacna1a	1246	1775	-529
Ctnnb1	1062	1591	-529
H1fx	747	1276	-529
Hp1bp3	900	1429	-529
5730409E04Rik	1297	1827	-530
Agtpbp1	621	1151	-530
Akr7a5	947	1477	-530
Kif5a	1309	1839	-530
Ndufa1	1101	1631	-530
Prkaca	2636	3166	-530
Fa2h	3620	4151	-531
Hopx	611	1142	-531
Ica1l	734	1265	-531
Fam13c	585	1117	-532
Ogfrl1	567	1099	-532
Elk1	603	1136	-533
Miga2	1547	2080	-533
Srsf5	1314	1848	-534
Sugt1	1277	1811	-534
Taok2	1194	1728	-534
Fbxo25	1103	1638	-535
Fxr1	1146	1681	-535
Kcnc4	733	1268	-535
Pigq	1273	1808	-535
Psmd4	1295	1830	-535
Usp5	1368	1903	-535
Ap2a2	792	1328	-536
Atp5g3	1595	2131	-536
Fads2	873	1410	-537
Nadk	1127	1664	-537
Ttll5	1341	1878	-537
Dsp	96	634	-538
Tmem130	2642	3180	-538
Capza2	829	1368	-539
Dpp8	1179	1718	-539
Smoc2	123	662	-539
Ap3s2	1083	1623	-540
D8Ertd738e	1432	1972	-540
Mocs3	1008	1548	-540
Gng2	995	1536	-541
Gria3	864	1405	-541
Grin2a	445	986	-541
Rab1b	992	1533	-541
Rfx3	344	885	-541
Hexim1	997	1539	-542
Nav2	989	1531	-542
Arhgap20	605	1149	-544
Fmr1	1003	1547	-544
Lrrc47	1340	1884	-544
Nmt2	890	1434	-544
Pvalb	3005	3549	-544
Rac3	1235	1779	-544
Clk3	1145	1690	-545
Coa5	953	1498	-545
Ddx1	1283	1828	-545
Fam49a	685	1230	-545
Gpr155	745	1290	-545
Mapk3	1591	2136	-545
Ring1	1363	1908	-545
Flot2	858	1404	-546
Pomgnt1	907	1453	-546
Fam171a1	820	1367	-547
Lpgat1	1420	1967	-547
Mpv17l	868	1415	-547
Pip4k2c	733	1280	-547
Dcaf11	943	1491	-548
Eif4h	1161	1709	-548
Emg1	808	1356	-548
Mkrn1	2615	3163	-548
Slc25a39	2020	2568	-548
Nectin1	1713	2262	-549
Rasgrf1	1288	1837	-549
Tgfb2	260	809	-549
Cnksr2	309	859	-550
Pcmtd2	937	1487	-550
Tmem35a	1909	2459	-550
Dnal1	637	1188	-551
Tsc22d4	988	1539	-551
Arnt2	1759	2311	-552
Bcl7a	1085	1637	-552
Mcfd2	810	1362	-552
Pam	1330	1882	-552
Pip5k1c	909	1461	-552
Pmpcb	1071	1623	-552
Hist2h2bb	1475	2028	-553
Lin7c	613	1166	-553
Lsm7	1569	2122	-553
Pdzd4	925	1478	-553
Safb2	1506	2059	-553
Sstr4	301	854	-553
Tomm20	1638	2191	-553
Zfp664	1010	1563	-553
Cadm4	2676	3230	-554
Chordc1	1337	1891	-554
Clip1	1112	1666	-554
Fip1l1	1109	1663	-554
Ss18l2	1337	1891	-554
Gnl2	1112	1667	-555
Hspbp1	1589	2144	-555
Itfg1	1508	2063	-555
Lrrc8b	634	1189	-555
Syngr1	2011	2566	-555
Zfp106	1160	1715	-555
Pld3	824	1380	-556
Tmem179	1672	2228	-556
Tmem248	1412	1968	-556
Caln1	929	1486	-557
Isca2	1271	1828	-557
Srek1	833	1390	-557
Cdc37	1018	1576	-558
Cirbp	1107	1665	-558
Rtn4rl1	420	978	-558
Usp14	793	1351	-558
Agpat3	1274	1833	-559
Crtac1	1315	1874	-559
Kifap3	1444	2003	-559
Ndufa9	1265	1824	-559
Wdr1	900	1459	-559
Grsf1	1395	1955	-560
Rabl6	1528	2088	-560
Scamp5	1336	1896	-560
Clmn	1279	1840	-561
Nkiras1	1473	2035	-562
Smarcad1	1159	1721	-562
Tango2	1661	2223	-562
Hyou1	948	1512	-564
Ppp2r2b	1932	2496	-564
Hcn2	2508	3073	-565
Pdlim7	1347	1912	-565
Cyth1	1228	1794	-566
Edf1	1857	2423	-566
Enpp2	2157	2723	-566
Rsrc2	1052	1618	-566
Ubl3	1114	1680	-566
Cacna1c	655	1222	-567
Camkk2	1069	1636	-567
Aamdc	1175	1743	-568
Ppfia3	989	1557	-568
Stmn1	1861	2429	-568
Atp8a2	2083	2652	-569
Hmgn3	725	1294	-569
Ip6k1	2126	2695	-569
Nub1	1355	1924	-569
Rai1	947	1516	-569
Syngr3	1685	2254	-569
Ints1	1157	1727	-570
Ncl	1420	1990	-570
Rnasek	1756	2326	-570
Sirt2	1097	1667	-570
Tomm34	1010	1580	-570
Abr	829	1400	-571
Mef2c	515	1086	-571
Alkbh6	1290	1862	-572
Zfp622	1050	1622	-572
Cherp	1129	1702	-573
Palm	682	1255	-573
Gosr2	1016	1590	-574
Kcnq2	1217	1792	-575
Grasp	306	883	-577
Wdfy1	1231	1808	-577
5031439G07Rik	1156	1734	-578
Gnal	1588	2166	-578
Pde4a	1654	2232	-578
Dpy19l1	1737	2316	-579
Hivep2	1061	1640	-579
Map9	1142	1721	-579
Prelid3a	864	1443	-579
Asb6	1253	1833	-580
Rnf10	1028	1608	-580
Mical2	453	1034	-581
Ssr2	1163	1744	-581
Astn1	1605	2187	-582
Atp6v0e	1344	1926	-582
Grpel1	1232	1815	-583
Hars	1062	1645	-583
Fnta	2416	3000	-584
Ndufc2	1195	1779	-584
Snx10	1608	2192	-584
Ube2g2	755	1339	-584
Rmc1	1109	1695	-586
Pcdh7	1043	1631	-588
Pdgfa	1577	2165	-588
Tmem150c	1101	1689	-588
Bcas2	899	1488	-589
Eef1b2	1565	2155	-590
Krr1	961	1551	-590
Mfn1	1367	1957	-590
Sec16a	999	1589	-590
Prrc2b	893	1484	-591
Sgsm2	990	1581	-591
Gas6	1742	2334	-592
Gpx1	1572	2164	-592
Klhl11	1797	2389	-592
Rnf123	1518	2110	-592
Dexi	1350	1943	-593
Map4	1223	1816	-593
Nr2f1	1362	1955	-593
Gba2	1120	1714	-594
Igsf11	998	1592	-594
Mccc1	1001	1595	-594
Tsn	1163	1757	-594
Cops8	1502	2097	-595
Slc29a4	527	1122	-595
Wbp1l	856	1451	-595
Calm2	1831	2427	-596
Cnih3	344	940	-596
Ogfod1	1421	2017	-596
03-Sep	829	1425	-596
Slc6a17	1435	2031	-596
Arc	536	1133	-597
Gbf1	1259	1856	-597
St3gal2	1371	1968	-597
Aebp2	1139	1737	-598
Trim28	869	1467	-598
Sema6d	1260	1860	-600
Nus1	2308	2909	-601
Pdia3	1032	1633	-601
1110051M20Rik	1579	2181	-602
Mnt	844	1446	-602
Dgkg	531	1134	-603
Pcbp4	2171	2774	-603
Ehd3	819	1423	-604
Kpna1	1205	1809	-604
Bmt2	1058	1663	-605
Emc3	1225	1831	-606
Tmem127	1488	2094	-606
St8sia5	1286	1893	-607
Tmem246	1598	2205	-607
Wdr18	1498	2105	-607
Btrc	1692	2300	-608
Cct7	1261	1869	-608
Efr3b	2063	2671	-608
Phyhd1	636	1245	-609
Pitrm1	805	1414	-609
Sox9	1030	1639	-609
Cap1	858	1468	-610
Cpe	664	1274	-610
Paqr8	1049	1659	-610
Rpn1	1774	2384	-610
Surf1	1690	2300	-610
Wrb	1518	2128	-610
Extl1	461	1072	-611
Gas2	2222	2833	-611
Pfn2	985	1596	-611
Prex2	827	1438	-611
Dus1l	1006	1618	-612
Ipo4	1844	2456	-612
Ptpn3	1028	1640	-612
Trim23	1159	1771	-612
Kcnj3	647	1262	-615
Napg	1100	1715	-615
Camkv	553	1170	-617
Dlg2	1279	1897	-618
Nbl1	418	1036	-618
Sdha	1916	2534	-618
Kctd17	1809	2428	-619
Usp30	1347	1966	-619
Kat6a	971	1591	-620
P4hb	1222	1843	-621
Ryr2	672	1293	-621
Drosha	1922	2544	-622
Dscam	1130	1752	-622
Eif6	1568	2190	-622
Kmt2c	952	1575	-623
Rmnd5a	1165	1788	-623
Romo1	2593	3216	-623
Slc25a18	996	1619	-623
C2cd2l	758	1382	-624
Ddx6	1213	1837	-624
Klhl7	1120	1744	-624
Podxl2	2427	3051	-624
Acly	2133	2758	-625
Amfr	1383	2009	-626
Cdyl	1472	2098	-626
Celf4	903	1529	-626
Adnp	1321	1948	-627
Ccny	950	1577	-627
Fh1	1381	2008	-627
Tanc2	1387	2014	-627
Tppp3	1915	2542	-627
Matk	1392	2021	-629
4833420G17Rik	1199	1829	-630
Dctn2	1513	2143	-630
Dnlz	1507	2137	-630
Slc24a3	1190	1820	-630
Timm9	823	1453	-630
Tmed7	1080	1710	-630
Zmynd11	1178	1808	-630
Mea1	1421	2052	-631
Npr2	1015	1646	-631
Pkig	731	1362	-631
Dpf2	1155	1787	-632
Kcnn2	1027	1660	-633
Pqbp1	1170	1803	-633
Aco2	1987	2621	-634
H2afz	1825	2459	-634
Lysmd2	1939	2573	-634
Pacs2	4277	4911	-634
Pak3	1296	1930	-634
Smarcd3	2955	3589	-634
Bcl2l2	2921	3556	-635
Nrgn	348	983	-635
Ccsap	361	997	-636
Mtln	1216	1852	-636
Nadk2	1158	1794	-636
Neto1	566	1202	-636
Supt5	1020	1656	-636
Epb41l4b	2265	2902	-637
Ddx23	1149	1787	-638
Med9	990	1628	-638
Gad2	2653	3292	-639
Srp14	1531	2171	-640
Tceal3	1508	2148	-640
Hsd17b4	989	1630	-641
Irgq	1482	2123	-641
Polr2e	859	1500	-641
Arfgap1	1232	1874	-642
Gda	490	1132	-642
Edil3	1567	2210	-643
Mapk1	782	1425	-643
Zdhhc17	1268	1911	-643
6430548M08Rik	2004	2648	-644
Bcl11a	619	1263	-644
Shisal1	1276	1920	-644
Hspa4l	1702	2347	-645
Rsrp1	2734	3379	-645
Aars	1551	2197	-646
Ciao1	1330	1976	-646
Crebbp	1086	1732	-646
H1f0	1026	1673	-647
Pfdn6	2332	2979	-647
Mbnl2	1128	1776	-648
Txnl4a	1402	2050	-648
Lin7a	1239	1888	-649
Napb	1364	2013	-649
Amph	1160	1810	-650
Gabarapl2	2999	3650	-651
Wdr13	1154	1805	-651
Chpf	1497	2149	-652
Snx17	1240	1892	-652
Tmem11	1325	1977	-652
Eps15	943	1596	-653
Casc4	1362	2016	-654
Anapc16	1181	1836	-655
Pias1	943	1598	-655
Tasp1	3715	4370	-655
Extl3	1412	2068	-656
Ndufa8	1896	2552	-656
Hcfc1r1	1233	1890	-657
Plekha5	830	1487	-657
Rfc1	875	1532	-657
Ash1l	1251	1909	-658
Atp5l	2975	3633	-658
Hdac2	1315	1974	-659
Mpnd	1278	1937	-659
Arl2	2275	2935	-660
Nfib	657	1317	-660
Rrn3	1015	1675	-660
Apod	1417	2078	-661
Cdc42se2	867	1528	-661
Ampd2	1635	2297	-662
Phf23	1467	2129	-662
Camk1d	851	1514	-663
Ankrd13d	1373	2037	-664
Cers1	1021	1685	-664
9530068E07Rik	1112	1778	-666
Appbp2	1983	2649	-666
Pias4	1069	1737	-668
Pdpk1	1045	1714	-669
Ap3d1	1302	1972	-670
Fbxo44	2129	2800	-671
Iffo1	1809	2480	-671
Upf3a	947	1618	-671
Eps8	1429	2101	-672
Ubl7	1393	2065	-672
2410002F23Rik	2172	2845	-673
Bmpr2	1208	1881	-673
Dido1	1306	1979	-673
Eif3c	1307	1980	-673
Rab40b	286	959	-673
Cipc	952	1626	-674
Gls	1239	1913	-674
Mog	2142	2816	-674
Trim2	1106	1780	-674
Kcnip2	570	1245	-675
Vps29	2538	3213	-675
Coro1a	857	1533	-676
Pet100	1277	1953	-676
Camk2d	1927	2604	-677
Kif1bp	1033	1710	-677
Sfr1	1328	2005	-677
Atp6ap1	2277	2955	-678
Wsb1	1863	2541	-678
Cabp1	1414	2093	-679
Ubr3	1377	2056	-679
Gstm5	1993	2673	-680
2410004B18Rik	1327	2008	-681
Dnajc7	1382	2063	-681
Sdc4	804	1485	-681
Brinp1	932	1614	-682
Golm1	407	1089	-682
Rpusd1	1066	1748	-682
